"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","MODALID4","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
102,6,815,1,1,1,169,1,1,2,2709000000,66135888,66135888,66,449904,22836254516,10179215,0,0,0,0
102,6,580,1,1,1,169,1,1,2,2711130000,2206414,2206414,66,18897,1258845778,561128,0,0,0,0
102,6,196,1,1,1,169,1,1,2,2710005000,35583114,35583114,66,242062,18388918898,8196824,0,0,0,0
102,6,249,1,1,1,169,1,1,2,2710006000,140279454,140279454,66,954282,38723136443,17260761,0,0,0,0
102,6,580,1,1,1,169,1,1,2,2711120000,592323,592323,66,5073,284055110,126617,0,0,0,0
102,6,196,1,1,1,169,1,1,2,2711120000,2655006,2655006,66,22739,1238686406,552142,0,0,0,0
102,6,249,1,1,1,169,1,1,2,2710001100,22341909,22341909,66,191349,12620720401,5625661,0,0,0,0
102,6,105,1,1,1,169,1,1,2,2710009900,27862254,27862254,66,221129,15433955620,6879655,0,0,0,0
102,6,249,1,1,1,169,1,1,2,2709000000,1297710855,1297710855,66,8827965,536000000000,238899580,0,0,0,0
102,40,589,1,1,1,169,1,1,2,2709000000,61201392,61201392,66,416336,20630557623,9196030,0,0,0,0
102,7,850,2,2,3,169,1,1,2,2101110000,19453,19292,33,0,260620345,116171,0,0,0,0
102,2,249,2,2,1,169,1,1,2,901110000,88088,87360,25,1456,296512821,132170,0,0,0,0
102,2,399,2,2,1,169,1,1,2,901110000,54874,54420,25,907,186145531,82974,0,0,0,0
102,35,23,2,2,1,169,1,1,2,2101110000,117813,116839,33,0,1907873914,850431,0,0,0,0
102,35,23,2,2,1,169,1,1,2,901110000,4952892,4911960,25,81866,16497193121,7353591,0,0,0,0
102,35,69,2,2,1,169,1,1,2,2101110000,5445,5400,33,0,121144680,54000,0,0,0,0
102,35,69,2,2,1,169,1,1,2,901211000,2420,2400,33,0,20011306,8920,0,0,0,0
102,35,69,2,2,1,169,1,1,2,901110000,79678,79020,25,1317,263498653,117454,0,0,0,0
102,35,72,2,2,1,169,1,1,2,901110000,98797,97980,25,1633,335184895,149408,0,0,0,0
102,35,87,2,2,1,87,1,1,2,901110000,668404,662880,25,11048,2188521269,975529,0,0,0,0
102,35,149,2,2,1,169,1,1,2,901110000,2275163,2256360,25,37606,7550111109,3365447,0,0,0,0
102,35,211,2,2,1,211,1,1,2,2101110000,2350,2331,33,0,39378751,17553,0,0,0,0
102,35,211,2,2,1,211,1,1,2,901110000,158873,157560,25,2626,526934490,234880,0,0,0,0
102,35,190,2,2,1,169,1,1,2,901110000,530706,526320,25,8772,1776443153,791846,0,0,0,0
102,35,232,2,2,1,169,1,1,2,901110000,231594,229680,25,3828,759153137,338391,0,0,0,0
102,35,244,2,2,1,169,1,1,2,901110000,17727,17580,25,293,118089142,52638,0,0,0,0
102,35,245,2,2,1,169,1,1,2,901110000,178536,177060,25,2951,586053093,261232,0,0,0,0
102,35,249,2,2,1,169,1,1,2,2101110000,59802,59308,33,0,836178720,372725,0,0,0,0
102,35,249,2,2,1,169,1,1,2,901110000,12293721,12192120,25,203202,40520198869,18061798,0,0,0,0
102,35,676,2,2,1,169,1,1,2,2101110000,91960,91200,33,0,2398933874,1069320,0,0,0,0
102,35,271,2,2,1,169,1,1,2,901110000,525140,520800,25,8680,1463849497,652508,0,0,0,0
102,35,275,2,2,1,169,1,1,2,2101110000,14287,14169,33,0,139922105,62370,0,0,0,0
102,35,275,2,2,1,169,1,1,2,901110000,442255,438600,25,7310,1455483784,648779,0,0,0,0
102,35,573,2,2,1,169,1,1,2,901110000,606634,601620,25,10027,2045406777,911736,0,0,0,0
102,35,351,2,2,1,169,1,1,2,901110000,70604,70020,25,1167,245791339,109561,0,0,0,0
102,35,361,2,2,1,169,1,1,2,2101110000,5445,5400,33,0,133259148,59400,0,0,0,0
102,35,375,2,2,1,169,1,1,2,901110000,17606,17460,25,291,53561653,23875,0,0,0,0
102,35,383,2,2,1,169,1,1,2,2101110000,11495,11400,33,0,268537374,119700,0,0,0,0
102,35,383,2,2,1,169,1,1,2,901110000,149496,148260,25,2471,493832828,220125,0,0,0,0
102,35,386,2,2,1,169,1,1,2,901110000,58201,57720,25,962,211740710,94383,0,0,0,0
102,35,399,2,2,1,169,1,1,2,2101110000,114996,114046,33,0,2317358636,1032958,0,0,0,0
102,35,399,2,2,1,169,1,1,2,901110000,3560547,3531120,25,58852,12102360262,5394603,0,0,0,0
102,35,474,2,2,1,169,1,1,2,901110000,37087,36780,25,613,135222141,60275,0,0,0,0
102,35,493,2,2,1,169,1,1,2,901110000,35332,35040,25,584,114892268,51213,0,0,0,0
102,35,538,2,2,1,169,1,1,2,901110000,395005,391740,25,6529,1199617246,534727,0,0,0,0
102,35,548,2,2,1,169,1,1,2,901110000,72177,71580,25,1193,250026916,111449,0,0,0,0
102,35,589,2,2,1,169,1,1,2,2101110000,3700,3669,33,0,62791082,27989,0,0,0,0
102,35,603,2,2,1,169,1,1,2,2101110000,28435,28200,33,0,598723930,266880,0,0,0,0
102,35,628,2,2,1,169,1,1,2,2101110000,13799,13685,33,0,331451844,147744,0,0,0,0
102,35,628,2,2,1,169,1,1,2,901110000,582252,577440,25,9624,1857713286,828072,0,0,0,0
102,35,644,2,2,1,169,1,2,2,2101110000,57475,57000,33,0,2243,1,0,0,0,0
102,35,670,2,2,1,169,1,1,2,901110000,80284,79620,25,1327,237237178,105748,0,0,0,0
102,35,741,2,2,1,169,1,1,2,901110000,17666,17520,25,292,58687867,26160,0,0,0,0
102,35,744,2,2,1,169,1,1,2,901110000,19360,19200,25,320,70950401,31626,0,0,0,0
102,35,756,2,2,1,169,1,1,2,901110000,39507,39180,25,653,114869834,51203,0,0,0,0
102,35,764,2,2,1,169,1,1,2,901110000,805316,798660,25,13311,2771774574,1235513,0,0,0,0
102,35,767,2,2,1,169,1,1,2,2101110000,22990,22800,33,0,559096159,249216,0,0,0,0
102,35,767,2,2,1,169,1,1,2,901110000,84700,84000,25,1400,291061311,129740,0,0,0,0
102,35,218,2,2,1,169,1,1,2,901110000,105754,104880,25,1748,375761633,167495,0,0,0,0
102,6,23,2,2,1,169,1,1,2,2101110000,158323,157015,33,0,1784313071,795354,0,0,0,0
102,6,23,2,2,1,169,1,1,2,901110000,4409846,4373400,25,72890,14754520169,6576798,0,0,0,0
102,6,47,2,2,1,169,1,1,2,2101110000,2583,2561,33,0,40172922,17907,0,0,0,0
102,6,63,2,2,1,169,1,1,2,2101110000,6399,6346,33,0,118831714,52969,0,0,0,0
102,6,63,2,2,1,169,1,1,2,901110000,211024,209280,25,3488,613137903,273305,0,0,0,0
102,6,27,2,2,1,169,1,1,2,2101110000,4980,4938,33,0,90279708,40242,0,0,0,0
102,6,69,2,2,1,169,1,1,2,2101110000,13613,13500,33,0,177174095,78975,0,0,0,0
102,6,111,2,2,1,169,1,1,2,901110000,17606,17460,25,291,59547097,26543,0,0,0,0
102,6,87,2,2,1,169,1,1,2,901110000,2372871,2353260,25,39221,7805694976,3479373,0,0,0,0
102,6,149,2,2,1,169,1,1,2,2101110000,13845,13731,33,0,217075563,96761,0,0,0,0
102,6,149,2,2,1,169,1,1,2,901110000,184828,183300,25,3055,587459718,261859,0,0,0,0
102,6,190,2,2,1,169,1,1,2,901110000,17606,17460,25,291,63556089,28330,0,0,0,0
102,6,232,2,2,1,169,1,1,2,2101110000,21896,21715,33,0,391808816,174648,0,0,0,0
102,6,232,2,2,1,169,1,1,2,901110000,168190,166800,25,2780,542645160,241883,0,0,0,0
102,6,245,2,2,1,169,1,1,2,901110000,832480,825600,25,13760,2905347801,1295053,0,0,0,0
102,6,249,2,2,1,169,1,1,2,2101110000,174961,173515,33,0,2322352489,1035184,0,0,0,0
102,6,249,2,2,1,169,1,1,2,901110000,1026443,1017960,25,16966,3281158789,1462570,0,0,0,0
102,6,271,2,2,1,169,1,1,2,2101110000,5445,5400,33,0,132130708,58897,0,0,0,0
102,6,271,2,2,1,169,1,1,2,901110000,740460,734340,25,12239,2415573321,1076737,0,0,0,0
102,6,275,2,2,1,169,1,1,2,2101110000,15102,14977,33,0,337511322,150445,0,0,0,0
102,6,275,2,2,1,169,1,1,2,901110000,407407,404040,25,6734,1167433143,520381,0,0,0,0
102,6,301,2,2,1,169,1,1,2,901110000,112470,111540,25,1859,381336532,169980,0,0,0,0
102,6,573,2,2,1,169,1,1,2,2101110000,6817,6762,33,0,87717722,39100,0,0,0,0
102,6,573,2,2,1,169,1,1,2,901110000,463491,459660,25,7661,1529808289,681909,0,0,0,0
102,6,383,2,2,1,169,1,1,2,2101110000,1000,992,33,0,24677620,11000,0,0,0,0
102,6,383,2,2,1,169,1,1,2,901110000,226089,224220,25,3737,762913109,340067,0,0,0,0
102,6,386,2,2,1,169,1,1,2,2101110000,6468,6415,33,0,93353193,41612,0,0,0,0
102,6,386,2,2,1,169,1,1,2,901110000,1252169,1241820,25,20697,4167980472,1857869,0,0,0,0
102,6,399,2,2,1,169,1,1,2,2101110000,100873,100038,33,0,1748214199,779263,0,0,0,0
102,6,399,2,2,1,169,1,1,2,901110000,1394283,1382760,25,23046,5234186018,2333128,0,0,0,0
102,6,455,2,2,1,169,1,1,2,2101110000,13613,13500,33,0,165059627,73575,0,0,0,0
102,6,538,2,2,1,169,1,1,2,901110000,21115,20940,25,349,70788875,31554,0,0,0,0
102,6,603,2,2,1,169,1,1,2,901110000,123239,122220,25,2037,303438259,135257,0,0,0,0
102,6,607,2,2,1,169,1,1,2,901110000,132979,131880,25,2198,376095902,167644,0,0,0,0
102,6,611,2,2,1,169,1,1,2,2101110000,9447,9369,33,0,175273918,78128,0,0,0,0
102,6,628,2,2,1,169,1,1,2,2101110000,36579,36277,33,0,892488562,397825,0,0,0,0
102,6,628,2,2,1,169,1,1,2,901110000,483275,479280,25,7988,1597736803,712188,0,0,0,0
102,6,670,2,2,1,169,1,1,2,901110000,20147,19980,25,333,67165751,29939,0,0,0,0
102,6,741,2,2,1,169,1,1,2,2101110000,7051,6992,33,0,91868049,40950,0,0,0,0
102,6,744,2,2,1,169,1,1,2,901110000,17606,17460,25,291,61745649,27523,0,0,0,0
102,6,764,2,2,1,169,1,1,2,2101110000,9237,9162,33,0,179803383,80147,0,0,0,0
102,6,764,2,2,1,169,1,1,2,901110000,232926,231000,25,3850,814543177,363081,0,0,0,0
102,6,770,2,2,1,169,1,1,2,2101110000,6864,6808,33,0,148112832,66021,0,0,0,0
102,19,23,2,2,1,169,1,1,2,901110000,1570822,1557840,25,25964,5111394667,2278394,0,0,0,0
102,19,87,2,2,1,169,1,1,2,901110000,183013,181500,25,3025,597745798,266444,0,0,0,0
102,19,190,2,2,1,169,1,1,2,901110000,86213,85500,25,1425,290096640,129310,0,0,0,0
102,19,232,2,2,1,169,1,1,2,901110000,105875,105000,25,1750,340961702,151983,0,0,0,0
102,19,249,2,2,1,169,1,1,2,901110000,158631,157320,25,2622,518754980,231234,0,0,0,0
102,19,271,2,2,1,169,1,1,2,901110000,95227,94440,25,1574,350049796,156034,0,0,0,0
102,19,573,2,2,1,169,1,1,2,901110000,70362,69780,25,1163,232916351,103822,0,0,0,0
102,19,399,2,2,1,169,1,1,2,901110000,140723,139560,25,2326,807032207,359733,0,0,0,0
102,19,538,2,2,1,169,1,1,2,901110000,156937,155640,25,2594,540673194,241004,0,0,0,0
102,19,628,2,2,1,169,1,1,2,901110000,408254,404880,25,6748,1395019128,621827,0,0,0,0
102,19,764,2,2,1,764,1,1,2,901110000,63465,62940,25,1049,202127655,90098,0,0,0,0
102,19,767,2,2,1,169,1,1,2,901110000,193237,191640,25,3194,530667540,236544,0,0,0,0
102,11,249,5,5,4,169,1,1,2,6203390000,3,1,11,5,91980,41,0,0,0,0
102,11,249,5,5,4,169,1,1,1,6201910000,33,19,11,104,3537873,1577,0,0,0,322
102,11,386,5,5,4,169,1,1,1,6203420000,32,28,11,36,637131,284,0,0,200,144
102,11,493,5,5,4,169,1,1,2,6105209000,167,150,11,648,12356757,5508,0,0,0,0
102,11,493,5,5,4,169,1,1,2,6203430000,268,241,11,648,19917083,8878,0,0,0,0
102,11,493,5,5,4,169,1,1,2,6103420000,107,96,11,324,7923759,3532,0,0,0,0
102,11,493,5,5,4,169,1,1,2,6105100000,4012,3493,11,13192,240593334,107244,0,0,0,0
102,11,493,5,5,4,169,1,1,2,6109100000,224,195,11,1209,13426869,5985,0,0,0,0
102,11,493,5,5,4,169,1,1,1,5212130000,232,220,82,1496,5031991,2243,0,11,0,1798
102,11,611,5,5,4,169,1,1,1,6203330000,227,207,11,276,23528989,10488,0,0,0,5878
102,11,493,5,5,4,169,1,1,2,6109901000,81,73,11,513,10427416,4648,0,0,0,0
102,11,493,5,5,4,169,1,1,2,6104530000,54,49,11,342,9835153,4384,0,0,0,0
102,11,493,5,5,4,169,1,1,2,6104520000,27,24,11,171,3356156,1496,0,0,0,0
102,11,493,5,5,4,169,1,1,2,6204520000,54,49,11,342,11017436,4911,0,0,0,0
102,11,493,5,5,4,169,1,1,2,6114200000,27,24,11,171,3356156,1496,0,0,0,0
102,11,493,5,5,4,169,1,1,2,6114300000,163,147,11,1026,21245187,9470,0,0,0,0
102,11,493,5,5,4,169,1,1,2,5810920000,518,465,33,0,59820795,26665,0,0,0,0
102,11,317,5,5,4,169,1,1,2,5810920000,20,19,33,0,1680322,749,0,0,0,0
102,11,493,5,5,4,169,1,1,1,6204430000,21,19,11,149,2606854,1162,0,0,0,1162
102,11,493,5,5,4,169,1,1,1,6206900000,23,20,11,160,1435789,640,0,0,0,640
102,11,493,5,5,4,169,1,1,1,6206300000,24,21,11,165,1628723,726,0,0,0,726
102,11,493,5,5,4,169,1,1,1,6104220000,103,91,11,720,11468363,5112,0,0,0,5112
102,11,249,5,5,4,169,1,1,2,7616999000,9,8,11,4,89737,40,0,0,0,0
102,11,249,5,5,4,169,1,1,1,6108920000,7,5,11,72,1485144,662,6,4,0,557
102,11,249,5,5,4,169,1,1,2,6203410000,3,1,11,3,26921,12,0,0,0,0
102,11,249,5,5,4,169,1,1,1,6203490000,3258,1954,15,2747,265398830,118301,0,0,0,27491
102,11,345,5,5,4,580,1,1,2,6204390000,13,12,11,18,2624801,1170,0,0,0,0
102,11,345,5,5,4,580,1,1,2,6204330000,39,35,11,59,7941707,3540,0,0,0,0
102,11,345,5,5,4,580,1,1,2,6204690000,4,4,11,18,1009539,450,0,0,0,0
102,11,345,5,5,4,580,1,1,2,6204630000,17,15,11,59,3309045,1475,0,0,0,0
102,11,345,5,5,4,580,1,1,2,6204530000,17,15,11,59,3309045,1475,0,0,0,0
102,11,345,5,5,4,580,1,1,2,6206400000,19,17,11,57,3836248,1710,0,0,0,0
102,11,345,5,5,4,580,1,1,2,6206900000,23,21,11,95,4688748,2090,0,0,0,0
102,11,345,5,5,4,580,1,1,2,6206300000,39,35,11,126,7914786,3528,0,0,0,0
102,11,850,5,5,4,169,1,1,1,4202320000,2,1,11,3,67303,30,0,0,0,26
102,11,850,5,5,4,169,1,1,1,4203300000,4,4,11,12,323052,144,0,0,0,122
102,11,850,5,5,4,169,1,1,1,6106100000,24,22,11,95,2328670,1038,0,0,0,882
102,11,850,5,5,4,169,1,1,1,6106200000,23,21,11,83,1826144,814,0,0,0,692
102,11,850,5,5,4,169,1,1,1,6109100000,27,25,11,102,3344939,1491,0,0,0,1267
102,11,850,5,5,4,169,1,1,1,6110200000,2,2,11,7,376895,168,0,0,0,143
102,11,850,5,5,4,169,1,1,1,6110309000,2,2,11,5,314079,140,0,0,0,119
102,11,850,5,5,4,169,1,1,1,6112410000,2,2,11,5,157039,70,0,0,0,60
102,11,850,5,5,4,169,1,1,1,6202120000,4,4,11,12,482335,215,0,0,0,184
102,11,850,5,5,4,169,1,1,1,6203420000,10,9,11,41,2054973,916,0,0,0,779
102,11,850,5,5,4,169,1,1,1,6204620000,25,23,11,97,5399912,2407,0,0,0,2046
102,11,850,5,5,4,169,1,1,1,6206300000,8,7,11,30,592263,264,0,0,0,224
102,11,850,5,5,4,169,1,1,1,6217100000,2,2,11,6,161526,72,0,0,0,61
102,11,245,5,5,4,245,1,1,2,8524320000,18,17,11,160,1630966,727,0,0,71,0
102,11,245,5,5,4,245,1,1,2,8524519000,2,2,11,46,206395,92,0,0,9,0
102,11,105,5,5,4,573,1,1,2,5810920000,1920,1580,33,0,149218838,66514,0,0,0,0
102,11,149,5,5,4,249,1,1,2,8524320000,94,88,11,894,9067904,4042,0,0,77,0
102,11,196,5,5,4,169,1,1,2,4819200000,534,482,11,10000,448684,200,377,1,0,0
102,11,149,5,5,4,249,1,1,2,8524519000,13,12,11,187,973644,434,0,0,3,0
102,11,850,5,5,4,169,1,1,1,3926909090,257,240,11,88900,5429076,2420,0,0,98,1597
102,11,850,5,5,4,169,1,1,1,9606100000,172,160,13,130,2526091,1126,0,0,46,1024
102,11,850,5,5,4,169,1,1,1,3926902000,59,55,11,15000,347730,155,0,0,6,102
102,11,850,5,5,4,169,1,1,2,8421230000,779,466,11,20000,13909204,6200,0,0,41,0
102,11,493,5,5,4,169,1,1,1,4016930000,1025,941,11,730700,15226092,6787,0,0,0,5263
102,11,244,5,5,4,573,1,1,1,3004902100,742,558,33,0,26023672,11600,1600,0,0,9976
102,11,917,5,5,3,169,1,1,1,6302600000,4579,4213,11,10536,69904967,31160,0,0,0,20132
102,11,239,5,5,4,169,1,1,2,4819400000,334,311,11,960000,3053295,1361,0,0,70,0
102,11,850,5,5,4,850,1,1,2,6109909000,216,200,11,1589,17442591,7775,0,0,0,0
102,11,850,5,5,4,850,1,1,2,6117809000,4,4,11,18,107684,48,0,0,0,0
102,11,850,5,5,4,850,1,1,2,6114300000,12,11,11,153,1940558,865,0,0,0,0
102,11,850,5,5,4,850,1,1,2,6112110000,4,4,11,12,177230,79,0,0,0,0
102,11,850,5,5,4,850,1,1,2,4203300000,133,120,11,1380,20482425,9130,0,0,0,0
102,11,850,5,5,4,850,1,1,2,6112410000,59,55,11,932,23425791,10442,0,0,0,0
102,11,850,5,5,4,850,1,1,2,6104530000,3,3,11,9,114414,51,0,0,0,0
102,11,850,5,5,4,850,1,1,2,6109100000,12,12,11,36,388112,173,0,0,0,0
102,11,850,5,5,4,850,1,1,2,6104620000,12,11,11,54,1191256,531,0,0,0,0
102,11,850,5,5,4,850,1,1,2,6109901000,10,9,11,42,455414,203,0,0,0,0
102,11,850,5,5,4,850,1,1,2,6104630000,7,7,11,12,141335,63,0,0,0,0
102,11,850,5,5,4,850,1,1,2,6104230000,12,12,11,20,354460,158,0,0,0,0
102,11,850,5,5,4,850,1,1,2,6112310000,27,25,11,145,1725190,769,0,0,0,0
102,11,245,5,5,4,245,1,1,2,6107110000,2,2,11,24,199664,89,6,0,0,0
102,11,245,5,5,4,245,1,1,2,6107120000,33,27,11,348,2736972,1220,79,3,0,0
102,11,245,5,5,4,245,1,1,2,6109909000,21,17,11,221,2925420,1304,50,3,0,0
102,11,317,5,5,4,169,1,1,2,8436100000,59,56,11,1,740329,330,0,0,0,0
102,11,477,5,5,4,169,1,1,2,7616999000,107,95,11,550,2961314,1320,0,0,0,0
102,11,474,5,5,4,23,1,1,1,9021210000,116,107,11,90320,16758347,7470,0,0,0,7172
102,11,239,5,5,4,169,1,1,2,6112310000,9,8,11,129,1617506,721,0,0,0,0
102,11,239,5,5,4,169,1,1,2,6211490000,2,2,11,36,475605,212,0,0,0,0
102,11,249,5,5,4,249,1,1,1,8524320000,297,279,11,2169,14597934,6507,0,0,0,5336
102,11,317,5,5,4,169,1,1,2,4203300000,27,22,11,72,1422328,634,63,0,0,0
